component_id,sum
d5ac3ca4776a85e2,11.0
97be3aa88ca27110,12.0
1815b82335eebf80,170.0
20fc2d2c552f6f6b,7.0
82ea30e9b9fc1c80,7.0
7f21db44bc4fa21e,8.0
7e9b027af3269929,11.0
eb6ec8c728477f12,17.0
fee0cc3a0dbc1098,12.0
5bc174a5e35306ab,264.0
105403032b7257dc,12.0
d18d7f4cff8a7ae0,69.0
eb090246289d4e17,17.0
7286e27129167c34,20.0
db62400d7daf535a,7.0
82333ad97c8204ba,12.0
24f57fc829be906b,9.0
cd6d5519897482e3,11.0
de591573a5d2e001,11.0
eadc0656269620d2,13.0
dba0b350f86746ae,9.0
afca620b04d76709,22.0
2331cb1d50e5b4d1,6.0
cdfacc896ccb79d0,7.0
819f510d2655d68c,10.0
76beb99868f2208c,6.0
3a58bfae280b629e,8.0
2a348d44dcd21f98,11.0
507e98b2a4425c6f,12.0
1dc2cc7aca48380f,47.0
4a2e411b6b4d06c9,45.0
53716c0bff0e023a,143.0
4cd99f344aafa180,26.0
ebb1e08d754f033b,15.0
8fa12cdb6c53ac65,7.0
ae2d305df6bc22b9,7.0
dfa7581cfd947d82,61.0
b458aa2714e46bfe,21.0
260dbf240f59996c,16.0
cf3434a9c989ae38,9.0
ce5e66b21f00c3fb,8.0
acf0aa9d66a8a773,9.0
a5cc765481423139,9.0
70d7e15adcb5bfeb,16.0
240bc5be0d1fd3a1,14.0
1a6944f6b8efb4b3,78.0
8423ed9c8e7c7e74,13.0
231e23de37414c9a,10.0
1fb3aa9c3650e9e0,7.0
9cfbe332875232cf,20.0
54349604a9e3cb7d,22.0
5a8d33a5dceb3233,60.0
9b7ddd65b837f855,22.0
9f4ff059d762feba,9.0
45276a5940a7d86b,7.0
45d73e561dbd679c,15.0
73b4ef67f05934ca,14.0
a8b3dc2a22757928,8.0
8db6dcb6ef71f29d,11.0
f880fc4855e57af2,13.0
09601ec844fa64b9,7.0
17a1928ab26fd434,22.0
82f666ea7d4f95e3,9.0
c6a89fc32506957f,12.0
d000f12f3baeee01,201.0
f15f1f4f3e6946f9,7.0
6a1693b2a21a8d90,12.0
a3ec93ba2eff34a3,54.0
ae397b5428e18a6b,10.0
f17bb61f13f5fa6f,13.0
6024af23aa737f9c,85.0
fbccaed13667e070,15.0
a601af40d2c2bde2,10.0
6e5a872c4961e485,13.0
69d8d52e74a2f468,10.0
f7477c9b5ca383d9,8.0
e4eb2087834d95a0,7.0
f7f47cf89579d96d,9.0
14e927e77b52c304,8.0
a5bf513e6bdf3aab,7.0
09d96bb6d46e5d6f,13.0
7f2deb04a00742f8,7.0
877fdfc35d7df928,54.0
9af788e781810e6c,16.0
169606799ffff089,10.0
53328f65089f3db8,35.0
e393a057e4722bac,9.0
316035d457b47a74,10.0
cb05e36f0132ffd0,8.0
655a72d14f387ef3,38.0
0f1cc298dc4cc8c6,15.0
906ca91085695dd4,54.0
312e0dd61dacdf25,8.0
3628757308d83dfa,7.0
95b2341ba46fa1ce,74.0
61a4c98ae562b17e,12.0
6e83cbc783c60df1,5.0
09d5ba5b744ee1dd,8.0
0103be9b0c65efc2,12.0
125977a895d86d40,28.0
f4e0d9e98264a637,28.0
d9585c6b680cec69,10.0
dc026bbd1382c0a7,7.0
04f5ae1610445729,20.0
ce914b6532ab6121,7.0
1cc808521fa1881a,12.0
f7e9fac31f80fac1,65.0
763cf813c5cfeb9e,22.0
2d546d580e6bd74c,8.0
f527a711546d29f9,7.0
01041fbd66febdfa,7.0
79984584b77b5a5e,149.0
0e42b72423192e32,12.0
734586beb4c1235f,46.0
6ab48237f1eabcbe,12.0
55cb008b1fe091f2,7.0
f66c9aa414f5d02f,12.0
a76aa6419111a5a8,85.0
f7623fb66a89e330,9.0
e3537d533c790c91,37.0
dc82b87c5497527b,20.0
481593517d9a1731,12.0
f61fb04d9b1df4a2,36.0
b0db59e898c8f0df,22.0
