component_id,factors__component_id,complexity_score,factors__num_pins,factors__generator_used,factors__has_polygon_in_footprint,factors__prefix
641bbbfdc81e3fd5,,0.20000000298023224,2.0,1,0,R
7cc89537295c5524,,0.5906476974487305,26.0,0,0,J
a9fc6c26c96861aa,,0.20000000298023224,8.0,1,0,U
0cd78d11a2edee84,,0.20000000298023224,3.0,1,0,D
79f2bb7e6eb0256c,,0.23499999940395355,6.0,0,0,SW
3c84c496099d2909,,0.20000000298023224,2.0,0,0,R
4cf55db8f78fdb03,,0.33500000834465027,18.0,0,0,U
69f4d5241aeadc13,,0.20000000298023224,2.0,0,0,J
6c7ad4640ed6a846,,0.2849999964237213,12.0,0,0,J
c88c78d4a60fe7c4,,0.20999999344348907,4.0,0,0,Y
325864c81929cd9a,,0.2150000035762787,5.0,0,0,U
be98f1488e55b98c,,0.3499999940395355,21.0,0,0,U
046e9b21b3646c83,,0.20000000298023224,2.0,0,0,C
0d261ee2fe7f819a,,0.20000000298023224,2.0,1,0,C
f19ae6821233437f,,0.20000000298023224,2.0,0,0,D
6008bbd33bc3cbce,,0.29499998688697815,14.0,0,0,U
10b0ec6fced557f3,,0.20999999344348907,4.0,0,0,J
cf1ac635f8293afc,,0.31849998235702515,8.0,0,0,U
c553695e3d54bc7d,,0.20000000298023224,2.0,0,0,C
c5b11b9ae943f413,,0.20499999821186066,3.0,0,0,Q
4d5b5dbb79164d43,,0.2849999964237213,12.0,0,0,J
f4a9af31c4564199,,0.20000000298023224,2.0,1,0,C
d31b2dadc692c96b,,0.2150000035762787,5.0,0,0,U
f4cef5fc8fb895d0,,0.20499999821186066,3.0,0,0,J
d48abcc82411142e,,0.22499999403953552,25.0,1,0,U
5c3beb59b076bd23,,0.8450000286102295,69.0,0,0,J
6836bf32899384ee,,0.23499999940395355,6.0,0,0,U
ad9b89497079f556,,0.20000000298023224,2.0,0,0,C
c166b5b27c23d4d4,,0.20499999821186066,21.0,1,0,U
305c539bac3a0a25,,0.32499998807907104,16.0,0,0,U
997739eb84cc833c,,0.20000000298023224,8.0,1,0,U
ff0a592aedae15cd,,0.20000000298023224,3.0,1,0,Q
d1cda87d8b783f75,,0.24500000476837158,8.0,0,0,U
a808c671f8cb7f85,,0.24500000476837158,8.0,0,0,Q
b394011379fbd02f,,0.2150000035762787,5.0,0,0,U
c6312a6f7958be31,,0.20499999821186066,3.0,0,0,Q
732bb46c30c75b1a,,0.20000000298023224,2.0,1,0,R
4075bb981a2715da,,0.32499998807907104,16.0,0,0,U
cf1662cd9e8295a1,,0.20000000298023224,2.0,0,0,Y
8cb12d71a6fe9738,,0.20499999821186066,3.0,0,0,Q
a892ebefb61b9961,,0.2849999964237213,12.0,0,0,U
a84e1346ca9c889b,,0.26500001549720764,33.0,1,0,U
04a26bb30969837d,,0.20000000298023224,2.0,0,0,BT
a057dc7cc102b6bb,,0.6000000238418579,153.0,1,0,U
9ad5e2374627160d,,0.8684136271476746,100.0,0,0,U
db598f86cbd9bdfa,,0.20999999344348907,4.0,0,0,U
1915f99d7973d850,,0.20000000298023224,10.0,1,0,U
7bda4f4d9145d671,,0.20999999344348907,4.0,0,0,J
82461985aa1b7960,,0.6706648468971252,43.0,0,0,U
1f74a33dd576e6a8,,0.24500000476837158,8.0,0,0,U
1d4a70678f577b31,,0.5684365034103394,32.0,0,0,U
96eae3b31a81bacc,,0.4143836498260498,29.0,0,0,U
ea4c216aef627160,,0.20000000298023224,16.0,1,0,U
405795a2244d8755,,0.20499999821186066,3.0,0,0,SW
ef4323e285795d17,,0.26500001549720764,33.0,1,0,U
526128f5329f5df9,,0.24000000953674316,28.0,1,0,U
1957f1d97fcf32f9,,0.33000001311302185,17.0,0,0,U
72bed164a2b11f09,,0.6527106761932373,64.0,0,0,U
82342d55afced968,,0.6527106761932373,64.0,0,0,U
a7d5bf77c206e6f1,,0.26500001549720764,33.0,1,0,U
784bc161b5a2c371,,0.38251006603240967,25.0,0,0,U
f8ef3cb44d7ac671,,0.21000000834465027,22.0,1,0,U
c50ae58155dc9262,,0.30000001192092896,40.0,1,0,U
74185a3a4f26a479,,0.20000000298023224,7.0,1,0,U
6ecafc0d38802365,,0.2750000059604645,10.0,0,0,J
fa666282a6751655,,0.2150000035762787,5.0,0,0,U
0e84323e1a69f8da,,0.6436434388160706,40.0,0,0,U
6f42235e470eaaf5,,0.20000000298023224,5.0,1,0,U
8b02f6f82147d718,,0.20000000298023224,2.0,0,0,Y
af791b92e6eddc46,,0.20499999821186066,3.0,0,0,U
eeb35c0849d406e5,,0.20000000298023224,20.0,1,0,U
9f63c7af9c3c373f,,0.20499999821186066,3.0,0,0,Q
ec0850730d567e66,,0.608444094657898,57.0,0,0,U
e840896ee9294fc6,,0.20499999821186066,3.0,0,0,RG
5c164bbd8f036d1d,,0.20000000298023224,6.0,1,0,U
e0a01a171177e3bd,,0.20000000298023224,2.0,1,0,R
322582745d845a4c,,0.20000000298023224,2.0,0,0,R
6e4e60343f1f3ece,,0.20000000298023224,2.0,1,0,R
bdeb35ddf59af504,,0.20000000298023224,2.0,1,0,C
3b01d07cb3c5fa78,,0.24500000476837158,8.0,0,0,U
59e431c60597f530,,0.20000000298023224,2.0,0,0,L
4b50f22d7b38ac8d,,0.20000000298023224,9.0,1,0,U
8638b493c5c7c5f9,,0.20000000298023224,6.0,1,0,U
efde2a664427ed36,,0.20999999344348907,4.0,0,0,SW
bbbfb2a7d94e0c08,,0.2150000035762787,5.0,0,0,U
8ec2cbc553503a09,,0.20000000298023224,4.0,1,0,U
9d49df3ef374c829,,0.20000000298023224,2.0,1,0,C
e971b47da39a5b2e,,0.29499998688697815,14.0,0,0,U
026119e7bb1e3ab4,,0.24000000953674316,28.0,1,0,U
33eef7d7b63ebbd3,,0.41999998688697815,64.0,1,0,U
7dfef880b8407926,,0.20000000298023224,3.0,1,0,Q
07297fcc44048a00,,0.20499999821186066,3.0,0,0,VR
a261300aea9209d0,,0.20000000298023224,2.0,1,0,R
5d4ce8f27ea54957,,0.20000000298023224,2.0,1,0,R
ac9cced1458495f1,,0.20000000298023224,2.0,0,0,L
