component_id,manufacturers
94e937b0c35dbd60,Texas Instruments
95c0d0a6cf710a4f,CUI
95c2e209fff7cce1,ON Semi
9652574a38003f6c,AVX/Kyocera
9683b2ce8afe4a0b,Molex
968d7b04123e6c71,Panasonic
969556b38d343585,Abracon
973d001675fba9c1,Vishay
9759bfa1646918df,ON Semi
99115f4f2f1b9b85,Toshiba
99191a7c69d8e3d6,Microchip
995540003ca748c6,TDK
9ad5e2374627160d,ST Microelectronics
9b1203689d6cd38e,"Zhejiang Jianfu Electronics Co., Ltd"
9b93799383ebbd17,Linear Technologies
9bd9d8bed88cdeef,Texas Instruments
9c903549b8122090,Broadcom
9d49df3ef374c829,Kemet
9dbe9765b3b6083a,Microchip
9def1c95e6eebc9e,YAGEO
9f51cdc829f04d39,Texas Instruments
a017e7e7bff9e2d6,Maxim Electronics
a057dc7cc102b6bb,SanDisk
a0dc9326c43caea3,Espressif
a11afdaf0de78203,TE
a1642f3513aa05c9,Sullins
a19aa6f89eb7f744,Infineon
a209953efed682be,Samsung
a3c4a8bb3a7fe0e8,"Murata Manufacturing Co., Ltd."
a4325e3caececd84,Microchip
a478a9c105932e91,NXP
a47dbde9c23ea56e,Vishay
a5a265c81b804cc7,Wurth
a5bff357c73f058c,Microchip
a67fa69b586c6869,Cirrus Logic Inc.
a6a1f70243ed222c,Panasonic
a6bce1d1418f12a6,Texas Instruments
a70c9d53ce4a3687,ON Semi
a71bee1b9b66177b,TXC
a7b0dffb9d2355ab,Texas Instruments
a8f92643ba94f725,Microchip Technology/Atmel
a921d3cdf8933b14,Microchip
a93a73127f059177,Maxim Electronics
a98c0899572d8ea7,HIROSE
aa4b2cc4b3f5aad8,Diodes
ab96797c2042e6a2,Microchip
abfce03109bd8f54,Ohmite
ac95fa04a4b19d43,Abracon
ad69b2208ed96874,Microchip
ad8d2d466d616056,Switchcraft
ad8ed126fa0f2308,Microchip
ad9a4bb821e5d662,Texas Instruments
aec587945c790934,nexperia
af88de73e6c0e88c,Microchip Technology / Atmel
afcfa23691b63e3c,ON Semi
b030f8fecee5a8d7,Microchip
b03d30d2f62b2f49,Multicomp
d8f55c5fb5c12bd4,Epson
b0956ad4fdb7149a,Omron
b0ba6e6a94160965,Panasonic
b0c6634f9e47c757,Broadcom
b1499725cd23175c,Vishay
b1d0174edd715653,TRACO Power
b2e96ae0da71e270,ON Semi
b394011379fbd02f,Texas Instruments
b3997c1a9879eef2,Texas Instruments
b3f6974654d4ccbf,ON Semi
b3fd7c781fc3ee29,Bel
b498fda090dd224b,NXP
b56bab06e693d382,Mirics
b61aa96e5d0e6e8a,CUI
b68a69fb852a9c06,HIROSE
b787fd5c76480771,Molex
b7a080d1819b13a8,Murata
b8f155b1462bc427,Parallax
b9c4d53ec092ae5a,Omron
baa169af60e5ed3d,Microchip
bac36dbc1ae9ed04,Panasonic
bb1ed9871fc132f0,Espressif
bbbc62df63a37953,Vishay
bbd15b1d893b70f4,YAGEO
bc101e06ea3d1dd7,Vishay
bcae7748fb3fd52b,NXP
bdf1c0bbb22bf9e2,Linear Technologies
becb2af68df66a97,Vishay
beed856fbc580b0e,THONK
befd6c926da53d9c,JST Sales America Inc.
bfbd7a196518964d,Microchip
bfcdb844589e404b,Maxim Electronics
c22aa993b90246fd,YAGEO
c2521192e03763d1,Vishay
c2682c75e28236c6,Microchip
c352131b2a4696d1,Texas Instruments
c3b79ffddbd291af,Vishay
c45ee3ac5abbdf68,Texas Instruments
c5831291e838c5d8,Micro Commercial Components Corp.
c5d9a7637503ecca,Murata
c60a7129cc709e46,Texas Instruments
c6578dd8800165a3,Infineon
c6ba99ad3f8e1353,Broadcom
c7e59c2c556dd232,Worlsemi
c86ccdf8a5c2826c,NXP
c90cea41672b0625,Texas Instruments
ca10ea22c9f5e847,ON Semi
ca86ccbd8750082c,ON Semi
cb093aa1b38e3f8e,C-MAC  FREQUENCY PRODUCTS LTD
cb44e6b752ea4c43,YAGEO
cc7adbbd409bd161,KOA Speer
ccd00b76e40ee5ce,Microchip
cdb2167af04b1e52,Silicon Laboratories
cf4f141078487322,Microchip
cfb592564599b791,Lite-On Inc.
cfec45fdf64d7d0d,Microchip
d058054c7a6e486a,Molex
d0d9ca4685911862,Sensirion
d124c36ccbe5e76e,Molex
d14c37cb70b88a06,Hirose Connector
d281becd2241650a,Sullins
d3c22a9a50c84427,"Murata Manufacturing Co., Ltd."
d49a4d0a18c2e361,AVX
d4b4e3acb5cad27e,Silicon Laboratories
d4d576ef24413d74,NXP
d59e6d983f64aebb,YAGEO
d5ef853f6f6369bf,Texas Instruments
d68ff054f328cb63,YAGEO
d7384a835452b36e,Bourns
d801f0a0c5589048,YAGEO
d8204f3bb2901d3d,Molex
d8c311e4ba3b0e75,Silicon Laboratories
d8f47d8f54793448,Lite-On
da3eea9feb3ec3c5,AVX
dadf2d6d01633ea9,Silicon Laboratories
dbb67c963855fd6d,Renesas Technology
dbb69efa5c6e4fa2,Intersil
dcbcf9e35cc0bb6b,Diodes
dcc9bfb4b810c291,YAGEO
dcd577392f6da1d0,Texas Instruments
dcfc220841eb02f8,TDK
dd3abecd8d79e064,Vishay
dd47fcb404d17c1c,Broadcom
de033828f488e483,Texas Instruments
de0fa0ea59e842fd,JST
de869b49db73842b,Maxim Electronics
deafe8030ec21990,Texas Instruments
deb3cc3e08e3e3be,Samtec
defb7ed4c2e57adb,CTS
df6b92797db9a0c1,Texas Instruments
dffef91d1b024c0b,Texas Instruments
e041bb0b504bde1b,Kemet
e09c8a77b06db469,Texas Instruments
e0e0756467f20a2a,Vishay
e23882ac3e6adea1,3M
e2f35d77b93d2f88,Texas Instruments
e37f8fbea380695c,Texas Instruments
e39a91fc6370c6c7,Panasonic Industrial Devices Europe GmbH
e40ac40ad92f40b9,Texas Instruments
e49c190ef4f52d4b,Vishay
e6284670f38fdaef,YAGEO
e6d5a491420ff078,ON Semi
e7626847a5fcd9aa,Taos
e77e64a39ce0f035,STMicroelectronics
e794875b0efe8d21,Rigado
e7a166c47b961221,Microchip
e7e23e7b956bd2bf,Broadcom
